from_node,to_node,is_existing,length (mile),Capacity (MMBtu)
3.0,20.0,1.0,21.0,1235000.0
11.0,20.0,1.0,35.0,275000.0
17.0,0.0,1.0,15.0,1830000.0
20.0,3.0,1.0,21.0,275000.0
20.0,11.0,1.0,35.0,1180000.0
6.0,14.0,1.0,37.0,31000.0
8.0,14.0,1.0,26.0,31000.0
14.0,6.0,1.0,37.0,31000.0
19.0,22.0,1.0,20.0,0.0
16.0,2.0,1.0,14.0,866000.0
6.0,14.0,1.0,37.0,896000.0
12.0,5.0,1.0,16.0,833000.0
14.0,8.0,1.0,26.0,846000.0
4.0,13.0,1.0,29.0,251000.0
13.0,4.0,1.0,29.0,432000.0
19.0,13.0,1.0,67.0,555000.0
1.0,9.0,1.0,23.0,125000.0
9.0,1.0,1.0,23.0,164000.0
8.0,14.0,1.0,26.0,201000.0
10.0,20.0,1.0,29.0,173000.0
18.0,0.0,1.0,11.0,222000.0
15.0,7.0,1.0,13.0,1169000.0
19.0,21.0,1.0,19.0,62000.0
14.0,6.0,1.0,37.0,896000.0
8.0,14.0,1.0,26.0,846000.0
0.0,2.0,0.0,39.0,537000.0
0.0,1.0,0.0,51.0,537000.0
0.0,9.0,0.0,73.0,537000.0
1.0,9.0,0.0,23.0,537000.0
1.0,2.0,0.0,25.0,537000.0
1.0,3.0,0.0,38.0,537000.0
2.0,1.0,0.0,25.0,537000.0
2.0,9.0,0.0,38.0,537000.0
2.0,0.0,0.0,39.0,537000.0
3.0,20.0,0.0,21.0,537000.0
3.0,11.0,0.0,33.0,537000.0
3.0,1.0,0.0,38.0,537000.0
4.0,13.0,0.0,29.0,537000.0
4.0,6.0,0.0,73.0,537000.0
4.0,22.0,0.0,78.0,537000.0
5.0,4.0,0.0,157.0,537000.0
5.0,13.0,0.0,182.0,537000.0
5.0,6.0,0.0,185.0,537000.0
6.0,14.0,0.0,37.0,537000.0
6.0,8.0,0.0,55.0,537000.0
6.0,4.0,0.0,73.0,537000.0
7.0,9.0,0.0,33.0,537000.0
7.0,2.0,0.0,40.0,537000.0
7.0,1.0,0.0,46.0,537000.0
8.0,14.0,0.0,26.0,537000.0
8.0,10.0,0.0,36.0,537000.0
8.0,6.0,0.0,55.0,537000.0
9.0,1.0,0.0,23.0,537000.0
9.0,7.0,0.0,33.0,537000.0
9.0,11.0,0.0,37.0,537000.0
10.0,20.0,0.0,29.0,537000.0
10.0,8.0,0.0,36.0,537000.0
10.0,11.0,0.0,40.0,537000.0
11.0,3.0,0.0,33.0,537000.0
11.0,20.0,0.0,35.0,537000.0
11.0,9.0,0.0,37.0,537000.0
12.0,5.0,0.0,16.0,537000.0
12.0,4.0,0.0,172.0,537000.0
12.0,13.0,0.0,196.0,537000.0
13.0,4.0,0.0,29.0,537000.0
13.0,22.0,0.0,48.0,537000.0
13.0,21.0,0.0,80.0,537000.0
14.0,8.0,0.0,26.0,537000.0
14.0,6.0,0.0,37.0,537000.0
14.0,10.0,0.0,56.0,537000.0
15.0,7.0,0.0,13.0,537000.0
15.0,2.0,0.0,34.0,537000.0
15.0,9.0,0.0,42.0,537000.0
16.0,2.0,0.0,14.0,537000.0
16.0,0.0,0.0,34.0,537000.0
16.0,1.0,0.0,39.0,537000.0
17.0,0.0,0.0,15.0,537000.0
17.0,2.0,0.0,30.0,537000.0
17.0,1.0,0.0,49.0,537000.0
18.0,0.0,0.0,11.0,537000.0
18.0,2.0,0.0,46.0,537000.0
18.0,1.0,0.0,61.0,537000.0
19.0,21.0,0.0,19.0,537000.0
19.0,22.0,0.0,20.0,537000.0
19.0,13.0,0.0,67.0,537000.0
20.0,3.0,0.0,21.0,537000.0
20.0,10.0,0.0,29.0,537000.0
20.0,11.0,0.0,35.0,537000.0
21.0,22.0,0.0,32.0,537000.0
21.0,13.0,0.0,80.0,537000.0
21.0,4.0,0.0,110.0,537000.0
22.0,21.0,0.0,32.0,537000.0
22.0,13.0,0.0,48.0,537000.0
22.0,4.0,0.0,78.0,537000.0
